"","JOURNAL","YEAR","VOLUME","ISSUE","editor_id","FIRST_NAME","MIDDLE_NAME","LAST_NAME","TITLE","CATEGORY","INST","UNIT","CITY","STATE","COUNTRY","COUNTRY_Prior_Class","geo.code","geo.code_Prior_Class","NOTES","GENDER","dupe"
"1","OIKOS",2004,104,1,54,"Andre","M","DeRoos","Subject.Editor","SE",NA,NA,"Amsterdam",NA,"Netherlands",NA,"NLD",NA,NA,NA,FALSE
"2","OIKOS",2011,120,1,124,"Anders",NA,"Klemetsen","Subject.Editor","SE",NA,NA,NA,NA,"Norway",NA,"NOR",NA,NA,NA,FALSE
"3","OIKOS",2014,123,1,131,"Anna-Liisa",NA,"Laine","Subject.Editor","SE",NA,NA,NA,NA,"Finland",NA,"FIN",NA,NA,NA,FALSE
"4","OIKOS",1985,44,1,193,"A",NA,"Semb-Johansson","Editorial.Board","SE",NA,NA,"Oslo",NA,"Norway",NA,"NOR",NA,NA,NA,FALSE
"5","OIKOS",2009,118,1,217,"Anna",NA,"Traveset","Subject.Editor","SE",NA,NA,"Mallorca",NA,"Spain",NA,"ESP",NA,NA,NA,FALSE
"6","OIKOS",2011,120,1,217,"Anna",NA,"Traveser","Subject.Editor","SE",NA,NA,NA,NA,"Spain",NA,"ESP",NA,NA,NA,FALSE
"7","OIKOS",2008,117,1,244,"Beatrix",NA,"Beisner","Subject.Editor","SE",NA,NA,"Montreal",NA,"Canada",NA,"CAN",NA,NA,NA,FALSE
"8","OIKOS",2012,121,1,253,"Ben",NA,"Chapman","Subject.Editor","SE",NA,NA,NA,NA,"Sweden",NA,"SWE",NA,NA,NA,FALSE
"9","OIKOS",2012,121,1,268,"Bruno",NA,"Ernande","Subject.Editor","SE",NA,NA,NA,NA,"France",NA,"FRA",NA,NA,NA,FALSE
"10","OIKOS",2012,121,1,283,"Bente",NA,"Grae","Subject.Editor","SE",NA,NA,NA,NA,"Norway",NA,"NOR",NA,NA,NA,FALSE
"11","OIKOS",2009,118,1,288,"Brad",NA,"Hawkins","Subject.Editor","SE",NA,NA,"Irvine","CA","USA",NA,"USA",NA,NA,NA,FALSE
"12","OIKOS",2011,120,1,288,"Brad",NA,"Hawkins","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"13","OIKOS",2007,116,1,405,"Christer",NA,"Bronmark","Subject.Editor","SE",NA,NA,"Lund",NA,"Sweden",NA,"SWE",NA,NA,NA,FALSE
"14","OIKOS",2006,112,1,514,"Chris",NA,"Lortie","Subject.Editor","SE",NA,NA,"Vancouver",NA,"Canada",NA,"CAN",NA,NA,NA,FALSE
"15","OIKOS",2011,120,1,514,"Chris",NA,"Lortie","Subject.Editor","SE",NA,NA,NA,NA,"Canada",NA,"CAN",NA,NA,NA,FALSE
"16","OIKOS",2012,121,1,519,"Carlos",NA,"Malian","Subject.Editor","SE",NA,NA,NA,NA,"Switzerland",NA,"CHE",NA,NA,NA,FALSE
"17","OIKOS",1985,44,1,538,"C","Overgaard","Nielsen","Editorial.Board","SE",NA,NA,"Copenhagen",NA,"Denmark",NA,"DNK",NA,NA,NA,FALSE
"18","OIKOS",2012,121,1,564,"Carry","Le","Roy","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"19","OIKOS",2011,120,1,570,"Chrsiter",NA,"Solbrek","Subject.Editor","SE",NA,NA,NA,NA,"Sweden",NA,"SWE",NA,NA,NA,FALSE
"20","OIKOS",2012,121,1,575,"Christopher",NA,"Swan","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"21","OIKOS",2012,121,1,632,"Dries",NA,"Bonte","Acting.Director.In.Chief","EIC",NA,NA,NA,NA,"Belgium",NA,"BEL",NA,NA,NA,FALSE
"22","OIKOS",2011,120,1,646,"David",NA,"Chalcraft","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"23","OIKOS",2009,118,1,713,"Daniel",NA,"Gruner","Subject.Editor","SE",NA,NA,"Bodega Bay","CA","USA",NA,"USA",NA,NA,NA,FALSE
"24","OIKOS",2010,119,1,713,"Daniel",NA,"Gruner","Subject.Editor","SE",NA,NA,"College Park","MD","USA",NA,"USA",NA,NA,NA,FALSE
"25","OIKOS",2011,120,1,713,"Daniel",NA,"Gruner","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"26","OIKOS",2004,104,1,720,"Dag","O","Hessen","Subject.Editor","SE",NA,NA,"Oslo",NA,"Norway",NA,"NOR",NA,NA,NA,FALSE
"27","OIKOS",2014,123,1,783,"Daniel",NA,"Mayor","Subject.Editor","SE",NA,NA,NA,NA,"United Kingdom",NA,"GBR",NA,NA,NA,FALSE
"28","OIKOS",2011,120,1,838,"Daniel",NA,"Reuman","Subject.Editor","SE",NA,NA,NA,NA,"United Kingdom",NA,"GBR",NA,NA,NA,FALSE
"29","OIKOS",2008,117,1,898,"Diego",NA,"Vazquez","Subject.Editor","SE",NA,NA,"Mendoza",NA,"Argentina",NA,"ARG",NA,NA,NA,FALSE
"30","OIKOS",2011,120,1,898,"Diego",NA,"Vazquez","Subject.Editor","SE",NA,NA,NA,NA,"Argentina",NA,"ARG",NA,NA,NA,FALSE
"31","OIKOS",2008,117,1,942,"Enrique",NA,"Chaneton","Subject.Editor","SE",NA,NA,"Buenos Aires",NA,"Argentina",NA,"ARG",NA,NA,NA,FALSE
"32","OIKOS",2011,120,1,942,"Enrique",NA,"Chaneton","Subject.Editor","SE",NA,NA,NA,NA,"Argentina",NA,"ARG",NA,NA,NA,FALSE
"33","OIKOS",1985,44,1,954,"E",NA,"Dahl","Editorial.Board","SE",NA,NA,"As-NLH",NA,"Norway",NA,"NOR",NA,NA,NA,FALSE
"34","OIKOS",1985,44,1,977,"E",NA,"Haukioja","Editorial.Board","SE",NA,NA,"Turku",NA,"Finland",NA,"FIN",NA,NA,NA,FALSE
"35","OIKOS",2005,108,1,1019,"Esa",NA,"Ranta","Subject.Editor","SE",NA,NA,"Helsinki",NA,"Finland",NA,"FIN",NA,NA,NA,FALSE
"36","OIKOS",2008,117,1,1025,"Eric",NA,"Seabloom","Subject.Editor","SE",NA,NA,"Corvallis","OR","USA",NA,"USA",NA,NA,NA,FALSE
"37","OIKOS",2011,120,1,1025,"Eric",NA,"Seabloom","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"38","OIKOS",1985,44,1,1048,"F",NA,"Andersson","Editorial.Board","SE",NA,NA,"Uppsala",NA,"Sweden",NA,"SWE",NA,NA,NA,FALSE
"39","OIKOS",2009,118,1,1138,"Frank","van","Veen","Subject.Editor","SE",NA,NA,"Silwood Park",NA,"United Kingdom",NA,"GBR",NA,NA,NA,FALSE
"40","OIKOS",2011,120,1,1138,"Frank","van","Veen","Subject.Editor","SE",NA,NA,NA,NA,"United Kingdom",NA,"GBR",NA,NA,NA,FALSE
"41","OIKOS",2008,117,1,1142,"Franz",NA,"Weissing","Subject.Editor","SE",NA,NA,"Groningen",NA,"Netherlands",NA,"NLD",NA,NA,NA,FALSE
"42","OIKOS",2011,120,1,1142,"Franz",NA,"Weissing","Subject.Editor","SE",NA,NA,NA,NA,"Netherlands",NA,"NLD",NA,NA,NA,FALSE
"43","OIKOS",2008,117,1,1339,"Hamish",NA,"McCallum","Subject.Editor","SE",NA,NA,"Hobart","Tasmania","Australia",NA,"AUS",NA,NA,NA,FALSE
"44","OIKOS",2011,120,1,1339,"Hamish",NA,"McCallum","Subject.Editor","SE",NA,NA,NA,NA,"Australia",NA,"AUS",NA,NA,NA,FALSE
"45","OIKOS",2005,108,1,1359,"Heikki",NA,"Setala","Subject.Editor","SE",NA,NA,"Helsinki",NA,"Finland",NA,"FIN",NA,NA,NA,FALSE
"46","OIKOS",2007,116,1,1359,"Heikki",NA,"Setala","Subject.Editor","SE",NA,NA,"Jyvaskyla",NA,"Finland",NA,"FIN",NA,NA,NA,FALSE
"47","OIKOS",2011,120,1,1359,"Heikki",NA,"Setala","Subject.Editor","SE",NA,NA,NA,NA,"Finland",NA,"FIN",NA,NA,NA,FALSE
"48","OIKOS",2013,122,1,1430,"Jessica",NA,"Abbot","Subject.Editor","SE",NA,NA,NA,NA,"Sweden",NA,"SWE",NA,NA,NA,FALSE
"49","OIKOS",2011,120,1,1445,"Joseph",NA,"Bailey","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"50","OIKOS",2007,116,1,1453,"Jordi",NA,"Bascompte","Subject.Editor","SE",NA,NA,"Seville",NA,"Spain",NA,"ESP",NA,NA,NA,FALSE
"51","OIKOS",2011,120,1,1474,"Jaobus",NA,"Boomsma","Subject.Editor","SE",NA,NA,NA,NA,"Denmark",NA,"DNK",NA,NA,NA,FALSE
"52","OIKOS",2012,121,1,1490,"James",NA,"Bullock","Subject.Editor","SE",NA,NA,NA,NA,"United Kingdom",NA,"GBR",NA,NA,NA,FALSE
"53","OIKOS",2012,121,1,1492,"Joshep",NA,"Bump","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"54","OIKOS",2009,118,1,1547,"Jose","Alexandre","Diniz-Filho","Subject.Editor","SE",NA,NA,"Goias",NA,"Brazil",NA,"BRA",NA,NA,NA,FALSE
"55","OIKOS",2008,117,1,1552,"Jennifer",NA,"Dunne","Subject.Editor","SE",NA,NA,"Santa Fe","NM","USA",NA,"USA",NA,NA,NA,FALSE
"56","OIKOS",2011,120,1,1552,"Jennifer",NA,"Dunne","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"57","OIKOS",2012,121,1,1678,"Johan",NA,"Kotze","Subject.Editor","SE",NA,NA,NA,NA,"Finland",NA,"FIN",NA,NA,NA,FALSE
"58","OIKOS",2004,104,1,1715,"Jan",NA,"Lindstrom","Subject.Editor","SE",NA,NA,"Glasgow",NA,"United Kingdom",NA,"GBR",NA,NA,NA,FALSE
"59","OIKOS",2005,108,1,1757,"Jane",NA,"Memmott","Subject.Editor","SE",NA,NA,"Bristol",NA,"United Kingdom",NA,"GBR",NA,NA,NA,FALSE
"60","OIKOS",2008,117,1,1846,"James","D","Roth","Subject.Editor","SE",NA,NA,"Orlando","FL","USA",NA,"USA",NA,NA,NA,FALSE
"61","OIKOS",2011,120,1,1846,"James","D","Roth","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"62","OIKOS",2009,118,1,1850,"Jennifer",NA,"Rudgers","Subject.Editor","SE",NA,NA,"Houston","TX","USA",NA,"USA",NA,NA,NA,FALSE
"63","OIKOS",2011,120,1,1850,"Jennifer",NA,"Rudgers","Subject.Editor","SE",NA,NA,NA,NA,"USA",NA,"USA",NA,NA,NA,FALSE
"64","OIKOS",2007,116,1,1866,"Jonathan",NA,"Shurin","Subject.Editor","SE",NA,NA,"Vancouver","British Columbia","Canada",NA,"CAN",NA,NA,NA,FALSE
