,,,Missing issues- 2011-2014,,,,,
,,,,,,,,
,,,,,,,,
Journal,YEAR,VOLUME,ISSUE,TITLE,NAME,INST.,COUNTRY,GENDER
Landscape Ecology,1988,1,3,EIC,Frank Golley,,US,M
Landscape Ecology,1988,1,3,SE,R.T.T Forman,,US,M
Landscape Ecology,1988,1,3,SE,M.Godron,,France,M
Landscape Ecology,1988,1,3,SE,G.Haase,,Germany,M
Landscape Ecology,1988,1,3,SE,W.Haber,,Germany,M
Landscape Ecology,1988,1,3,SE,S.Levin,,US,M
Landscape Ecology,1988,1,3,SE,E. van der ,,Sweden,M
Landscape Ecology,1988,1,3,SE,G.Merriam,,Canada,M
Landscape Ecology,1988,1,3,SE,Z.Naveh,,Israel,M
Landscape Ecology,1988,1,3,SE,M.Numata,,Japan,M
Landscape Ecology,1988,1,3,SE,A.F Ramos,,Spain,M
Landscape Ecology,1988,1,3,SE,P.G Risser,,US,M
Landscape Ecology,1988,1,3,SE,T. Rosswall,,Sweden,M
Landscape Ecology,1988,1,3,SE,M. Ruzicka,,CSSR,F
Landscape Ecology,1988,1,3,SE,K F.Schreiber,,Germany,M
Landscape Ecology,1988,1,3,SE,H.H Shugart,,US,M
Landscape Ecology,1988,1,3,SE,C. Steinitz,,US,M
Landscape Ecology,1988,1,3,SE,I.S Zonneveld,,Netherlands,M
Landscape Ecology,1988,1,3,SE,E. H Zube,,US,M
Landscape Ecology,1989,2,3,EIC,Frank Golley,,US,M
Landscape Ecology,1989,2,3,SE,R.T.T Forman,,US,M
Landscape Ecology,1989,2,3,SE,M.Godron,,France,M
Landscape Ecology,1989,2,3,SE,G.Haase,,Germany,M
Landscape Ecology,1989,2,3,SE,W.Haber,,Germany,M
Landscape Ecology,1989,2,3,SE,S.Levin,,US,M
Landscape Ecology,1989,2,3,SE,E. van der ,,Sweden,M
Landscape Ecology,1989,2,3,SE,G.Merriam,,Canada,M
Landscape Ecology,1989,2,3,SE,Z.Naveh,,Israel,M
Landscape Ecology,1989,2,3,SE,M.Numata,,Japan,M
Landscape Ecology,1989,2,3,SE,A.F Ramos,,Spain,M
Landscape Ecology,1989,2,3,SE,P.G Risser,,US,M
Landscape Ecology,1989,2,3,SE,T. Rosswall,,Sweden,M
Landscape Ecology,1989,2,3,SE,M. Ruzicka,,CSSR,F
Landscape Ecology,1989,2,3,SE,K F.Schreiber,,Germany,M
Landscape Ecology,1989,2,3,SE,H.H Shugart,,US,M
Landscape Ecology,1989,2,3,SE,C. Steinitz,,US,M
Landscape Ecology,1989,2,3,SE,I.S Zonneveld,,Netherlands,M
Landscape Ecology,1989,2,3,SE,E. H Zube,,US,M
Landscape Ecology,1990,5,1,EIC,Frank Golley,,US,M
Landscape Ecology,1990,5,1,SE,R.T.T Forman,,US,M
Landscape Ecology,1990,5,1,SE,M.Godron,,France,M
Landscape Ecology,1990,5,1,SE,G.Haase,,Germany,M
Landscape Ecology,1990,5,1,SE,W.Haber,,Germany,M
Landscape Ecology,1990,5,1,SE,S.Levin,,US,M
Landscape Ecology,1990,5,1,SE,E. van der ,,Sweden,M
Landscape Ecology,1990,5,1,SE,G.Merriam,,Canada,M
